NumeroInventario,Anio,DiasEnInv,Caracteristicas,PrecioVta,Origen,Ubicacion,Numero,Color,Obs_Veh
"95661","2022","","SENTRA ADVANCE CVT","309900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3N1AB8AE6NY278442","ROJO MERLOT/NEGRO","ES - CANCELADO"
"95791","2021","","KICKS ADVANCE CVT GRIS","299900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3N8CP5HE9ML493132","BLANCO/NEGRO","ES - BLANCO - 1 DUEÑO"
"95687","2023","","DUSTER ICONIC CVT","299900","NOGALES NISSAUTO","MACRO PLAZA","93YHSCCX0PJ362387","ROJO FUEGO","IS - KM 28,000 - ROJO FUEGO - 1 DUEÑO"
"95783","2024","3","KICKS ADVANCE CVT NEGRO","359900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3N8CP5HEXRL554155","BLANCO PERLADO/NEGRO","ES - BLANCO - 2 DUEÑOS"
"95782","2019","4","MARCH SENSE T/A","199900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3N1CK3CD1KL221722","ROJO ESCARLATA/GRIS","ES - ROJO -1 DUEÑO"
"4102","2025","4","XPANDER CROSS 5 PTAS LIMITED AUTO 1.5L","450000","MITSU CHIHUAHUA","MITSU CHIHUAHUA","MK2L6D1Y3SN002181","GRAPHITE GRAY METALLIC/NEGRO","FACTURADAEL 27/05/2025"
"4103","2025","4","XPANDER CROSS 5 PTAS LIMITED AUTO 1.5L","450000","MITSU CHIHUAHUA","MITSU CHIHUAHUA","MK2L6D1Y9SN002184","QUARTZ WHITE PEARL/NEGRO","FACTURADA EL 27/05/2025"
"4104","2025","4","XPANDER CROSS 5 PTAS LIMITED AUTO 1.5L","450000","MITSU CHIHUAHUA","MITSU CHIHUAHUA","MK2L6D1Y4SN002187","QUARTZ WHITE PEARL/NEGRO","FACTURADA 27/05/2025"
"95769","2019","6","NEW RIO LX A/T","214900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3KPA24ACXKE222151","ICE WINE","JD-ICE-NOG-1 DUEÑOS"
"95781","2025","9","V-DRIVE T/M A/C AUDIO","289900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3N1CN7AE8SK396243","BLANCO/NEGRO","ES - BLANCO - ACTIVO FIJO"
"95756","2019","11","PATHFINDER SENSE","349900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","5N1AR2MN4KC579437","BLANCO/BEIGE","JD-BLANCO-NOG-2 DUEÑOS"
"95748","2020","14","VERSA ADVANCE MT","239900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3N1CN8AE8LL836768","AZUL/GRIS","ES - AZUL 1 DUEÑO"
